@RELATION /share/usr/briese/Pythonscrips/models/bacello_fungi_model_features.arff
@ATTRIBUTE size numeric 
@ATTRIBUTE Mono_NLS_signal27 numeric 
@ATTRIBUTE Vacuole_signal9 numeric 
@ATTRIBUTE AutoCorrelatuion|d=3|1-20|charge numeric 
@ATTRIBUTE maxAutoCorrelation|1-110|charge numeric 
@ATTRIBUTE letterCount|1-20|L|aminoacid numeric 
@ATTRIBUTE letterCount|1-180|A|aminoacid numeric 
@ATTRIBUTE maxPaacount|1-70|hydrophob_slightly|1 numeric 
@ATTRIBUTE Paacount|d=4|-100--1|hydrophob_slightly|1 numeric 
@ATTRIBUTE Paacount|d=5|1-20|unpolar|0 numeric 
@ATTRIBUTE maxPaacountNormed|1--1|polar_polar|1 numeric 
@ATTRIBUTE letterCountNormed|1-20|1|charge_negative numeric 
@ATTRIBUTE maxPaacountNormed|1-10|aliphatic_helix_other|2 numeric 
@ATTRIBUTE letterCount|1-50|1|aliphatic_helix_uncharged numeric 
@ATTRIBUTE Paacount|d=4|1--1|aliphatic_helix_other|2 numeric 
@ATTRIBUTE prosite_clust_cyt numeric 
@ATTRIBUTE prosite_clust_nuc numeric 
@ATTRIBUTE 0005739 numeric 
@ATTRIBUTE 0005576 numeric 
@ATTRIBUTE go_one numeric 
@ATTRIBUTE response {cyt,mTP,nuc,SR} 
 
@DATA 
627,4,0.0,31.474457875,30.0788931238,1,13,0.16,0.0210526315789,0.142857142857,0.240384615385,0.0375939849624,0.0555555555556,17,0.230273752013,0,0,0,0,0,cyt 
526,0,4.87053791492e-05,45.09447875,40.5539992336,3,12,0.175438596491,0.136842105263,0.214285714286,0.131931166348,0.0,0.125,29,0.136538461538,0,0,0,0,2,cyt 
674,0,0.00698711338555,31.061074625,38.1870758105,0,20,0.346153846154,0.136842105263,0.357142857143,0.0938897168405,0.0,0.0714285714286,22,0.0958083832335,0,0,0,0,0,cyt 
377,0,0.000111738694219,27.547563125,36.5508462347,1,15,0.232142857143,0.168421052632,0.357142857143,0.122994652406,0.08,0.25,30,0.0970350404313,1,0,1.0,0,2,cyt 
350,0,0.00175531729494,32.755421625,36.2466051111,0,8,0.107142857143,0.126315789474,0.214285714286,0.123919308357,0.0217391304348,0.5,24,0.168604651163,0,0,0,0,0,cyt 
1727,0,0.000468870921824,25.06346975,34.4998228431,3,11,0.0793650793651,0.136842105263,0.142857142857,0.230858468677,0.0170648464164,0.25,27,0.212085996514,0,0,0,0,0,cyt 
234,0,0.0,36.6759675,35.2298893958,1,8,0.215384615385,0.115789473684,0.357142857143,0.155844155844,0.0540540540541,0.0714285714286,24,0.149122807018,1,0,0,0,2,cyt 
511,0,0.00017654957835,35.67423975,38.4206803441,2,3,0.125,0.126315789474,0.714285714286,0.110236220472,0.0,0,26,0.128712871287,0,0,0,0,0,cyt 
1051,1,0.000377347407872,34.474494,37.4138777826,3,9,0.0566037735849,0.168421052632,0.285714285714,0.24141221374,0.0191387559809,0.375,19,0.184688995215,0,0,0,0,0,cyt 
181,0,0.000708673864223,37.539011375,37.5844780755,0,15,0.14,0.136842105263,0.357142857143,0.0955056179775,0.107142857143,0.25,26,0.0857142857143,0,0,0,0,2,cyt 
