@RELATION /share/usr/briese/Pythonscrips/models/multiloc_plants_dbm_p+p_model_features.arff
@ATTRIBUTE size numeric 
@ATTRIBUTE ER_signal5 numeric 
@ATTRIBUTE Peroxi_signal1 numeric 
@ATTRIBUTE Vacuole_signal31 numeric 
@ATTRIBUTE Transmembrane_signal2 numeric 
@ATTRIBUTE Mip_signal12 numeric 
@ATTRIBUTE Chloro_signal2 numeric 
@ATTRIBUTE AutoCorrelatuion|d=1|1-20|hydrophob numeric 
@ATTRIBUTE property_sum|1-10|charge numeric 
@ATTRIBUTE AutoCorrelatuion|d=6|1-50|charge numeric 
@ATTRIBUTE letterCount|1-50|S|aminoacid numeric 
@ATTRIBUTE maxPaacountNormed|1-80|leucine|L numeric 
@ATTRIBUTE maxPaacount|1-120|cysteine|C numeric 
@ATTRIBUTE maxPaacount|1-120|lysine|K numeric 
@ATTRIBUTE letterCount|1-120|F|aminoacid numeric 
@ATTRIBUTE letterCount|1-120|W|aminoacid numeric 
@ATTRIBUTE Paacount|d=2|1-100|hydrophob_very|2 numeric 
@ATTRIBUTE maxPaacountNormed|-40--1|hydrophob_very|2 numeric 
@ATTRIBUTE maxPaacount|1-30|charge_negative|1 numeric 
@ATTRIBUTE Paacount|d=3|1-20|structure_helix|1 numeric 
@ATTRIBUTE minPaacount|1--1|structure_helix|1 numeric 
@ATTRIBUTE letterCount|1-20|2|size_large numeric 
@ATTRIBUTE maxPaacount|1--1|hydroxylated_hydroxy|1 numeric 
@ATTRIBUTE Paacount|d=2|1--1|aliphatic_helix_uncharged|1 numeric 
@ATTRIBUTE prosite_clust_SR numeric 
@ATTRIBUTE prosite_clust_mem numeric 
@ATTRIBUTE prosite_clust_nuc numeric 
@ATTRIBUTE prosite_clust_mTP numeric 
@ATTRIBUTE prosite_clust_cTP numeric 
@ATTRIBUTE prosite_clust_cyt numeric 
@ATTRIBUTE response {cyt,cTP,ER,ex,gol,mTP,nuc,per,mem,vac,cyt_nuc,ex_mem,cyt_mem,cyt_mTP,nuc_mTP,ER_ex,ex_nuc} 
 
@DATA 
245,30,0.0,7.682,3.709,-2.417,0,0.146466,54.11,33.2997432791,3,0.0128205128205,0,0.0265486725664,1,1,0.020618556701,0.105263157895,0.142857142857,0.3125,0.0117126496616,13,0.110169491525,0.195020746888,0,0,0,0,0,1,cyt 
255,45,0.0,7.682,3.709,-2.708,0,0.174863833333,46.1,31.233796814,2,0.0128205128205,0.00847457627119,0.0194174757282,1,1,0.103092783505,0.105263157895,0.2,0.1875,0.01296111665,12,0.105691056911,0.247011952191,0,0,0,0,0,1,cyt 
246,24,0.0,7.562,3.16,-2.747,0,0.127878333333,55.737,34.4583051395,2,0.0128205128205,0.00961538461538,0.03,0,1,0.0309278350515,0.105263157895,0.0833333333333,0.3125,0.0109941520468,13,0.115226337449,0.219008264463,0,0,0,0,0,1,cyt 
247,36,0.0,6.862,3.217,-2.789,0,0.145167,54.207,33.6835042093,2,0.0128205128205,0,0.019801980198,2,1,0.0309278350515,0.105263157895,0.0769230769231,0.3125,0.0118770377271,12,0.0983606557377,0.238683127572,0,0,0,0,0,1,cyt 
486,18,0.0,5.308,3.732,-1.102,0,0.2591255,53.598,43.2668612093,13,0.00877192982456,0.00892857142857,0.0175438596491,5,0,0.0515463917526,0.0526315789474,0.0384615384615,0.3125,0.0119977362762,3,0.112050739958,0.219917012448,0,0,0,0,0,0,cyt 
497,0,0.0,5.009,3.732,-1.861,0,0.291897333333,54.255,45.4419045581,11,0.025641025641,0.00909090909091,0.00990099009901,4,0,0.0515463917526,0.037037037037,0.0384615384615,0.0625,0.0110570544007,4,0.156186612576,0.243407707911,0,0,0,0,0,0,cyt 
467,18,0.0,5.041,3.732,-1.595,0,0.206671777778,53.327,44.390446,10,0.0131578947368,0.00847457627119,0.0188679245283,5,0,0.0824742268041,0.0526315789474,0.0384615384615,0.1875,0.0106207222091,4,0.133771929825,0.22030237581,0,0,0,0,0,0,cyt 
453,27,0.0,4.524,2.851,-2.925,1,0.271781,53.854,29.0239159767,3,0.0128205128205,0.00917431192661,0.00952380952381,7,2,0.0618556701031,0.0789473684211,0.0714285714286,0.25,0.0112085769981,4,0.10599078341,0.24276169265,0,0,0,0,0,1,cyt 
425,18,0.0,0,2.668,-3.839,0,0.0660948333333,36.232,30.9802652093,2,0.00877192982456,0,0.019801980198,2,1,0.020618556701,0.0540540540541,0.2,0.0625,0.0113340281397,14,0.120481927711,0.161520190024,0,0,0,0,0,0,cyt 
286,36,0.0,4.349,2.192,-1.552,0,0.187504333333,65.451,39.7608609302,1,0.00456621004566,0,0.01,5,1,0.0927835051546,0.0789473684211,0.0833333333333,0.375,0.0107249255214,11,0.146616541353,0.283687943262,0,0,0,0,0,0,cyt 
