@RELATION /share/usr/briese/Pythonscrips/models/bacello_animals_model_features.arff
@ATTRIBUTE size numeric 
@ATTRIBUTE Mono_NLS_signal26 numeric 
@ATTRIBUTE Mip_signal13 numeric 
@ATTRIBUTE AutoCorrelatuion|d=3|1-20|hydrophob numeric 
@ATTRIBUTE AutoCorrelatuion|d=5|1-30|charge numeric 
@ATTRIBUTE AutoCorrelatuion|d=1|1--1|charge numeric 
@ATTRIBUTE Paacount|d=3|1-30|leucine|L numeric 
@ATTRIBUTE letterCount|1-30|C|aminoacid numeric 
@ATTRIBUTE maxPaacountNormed|-30--1|cysteine|C numeric 
@ATTRIBUTE maxPaacountNormed|1-90|hydrophob_very|2 numeric 
@ATTRIBUTE letterCountNormed|1-20|1|charged numeric 
@ATTRIBUTE maxPaacount|-100--1|structure_none|0 numeric 
@ATTRIBUTE maxPaacount|1--1|structure_sheet|2 numeric 
@ATTRIBUTE prosite_clust_cyt numeric 
@ATTRIBUTE prosite_clust_mem numeric 
@ATTRIBUTE 0005739 numeric 
@ATTRIBUTE 0005634 numeric 
@ATTRIBUTE 0016740 numeric 
@ATTRIBUTE 0005576 numeric 
@ATTRIBUTE go_one numeric 
@ATTRIBUTE response {cyt,mTP,nuc,SR} 
 
@DATA 
453,44.938,-2.925,0.254118625,30.2172561667,36.5835397622,0.0,2,0,0.0795454545455,0.0147058823529,0.130952380952,0.0663615560641,1,0,0,1.0,0,0,2,cyt 
286,42.776,-1.652,0.1204384375,42.0494569167,36.727920318,0.0,1,0,0.170454545455,0.0512820512821,0.146341463415,0.0698529411765,0,0,0,1.0,0,0,2,cyt 
561,40.492,-1.969,0.1803278125,38.6113812083,36.2238339624,0.0,0,0,0.0632183908046,0.0365853658537,0.185567010309,0.0690909090909,0,0,0,0,0,0,0,cyt 
504,39.472,-1.356,0.214819875,39.6130589583,37.2367419261,0.0,1,0,0.0909090909091,0.0,0.113636363636,0.0607287449393,0,0,0,0,0,0,0,cyt 
351,37.708,-2.488,0.144283125,27.6701106667,36.8303671264,0.0,1,0,0.125,0.121951219512,0.125,0.0806916426513,0,0,0,0,0,0,0,cyt 
446,38.748,-2.003,0.1340145,31.2379515,36.6825267743,0.0384615384615,0,0,0.0681818181818,0.0769230769231,0.244897959184,0.075,1,0,1.0,1.0,1.0,0,2,cyt 
861,24.776,-1.875,0.3206248125,36.5477301667,38.558489169,0.115384615385,2,0,0.0795454545455,0.0105263157895,0.127659574468,0.0547619047619,1,0,0,0,0,0,2,cyt 
1620,37.272,-3.774,0.142949,36.44610775,36.7294100736,0.0,1,0,0.0227272727273,0.00671140939597,0.152941176471,0.0426716141002,1,1,0,1.0,1.0,1.0,0,cyt 
1101,47.77,-1.962,0.2642776875,36.9289696667,36.8996721439,0.0,1,0,0.125,0.0162601626016,0.0760869565217,0.0816513761468,0,0,0,0,0,0,0,cyt 
732,52.928,-2.01,0.2610861875,35.4519545833,35.6641451399,0.0,1,0,0.0909090909091,0.0459770114943,0.119565217391,0.0686274509804,0,0,0,0,0,0,0,cyt 
408,41.608,-2.598,0.194309,39.3387958333,36.4188672765,0.0,0,0,0.0909090909091,0.0576923076923,0.0967741935484,0.0763358778626,0,0,0,0,0,0,2,cyt 
