@RELATION /share/usr/briese/Pythonscrips/models/multiloc_animals_p+p_model_features.arff
@ATTRIBUTE size numeric 
@ATTRIBUTE Mono_NLS_signal26 numeric 
@ATTRIBUTE ER_signal5 numeric 
@ATTRIBUTE Peroxi_signal3 numeric 
@ATTRIBUTE Vacuole_signal31 numeric 
@ATTRIBUTE Golgi_signal4 numeric 
@ATTRIBUTE Transmembrane_signal2 numeric 
@ATTRIBUTE AutoCorrelatuion|d=1|1-20|hydrophob numeric 
@ATTRIBUTE AutoCorrelatuion|d=6|1-70|hydrophob numeric 
@ATTRIBUTE property_sum|1-30|charge numeric 
@ATTRIBUTE AutoCorrelatuion|d=2|1--1|charge numeric 
@ATTRIBUTE letterCount|1-20|K|aminoacid numeric 
@ATTRIBUTE maxPaacount|1-30|asparagine|N numeric 
@ATTRIBUTE maxPaacountNormed|1-50|leucine|L numeric 
@ATTRIBUTE letterCount|1-90|W|aminoacid numeric 
@ATTRIBUTE maxPaacount|1-170|cysteine|C numeric 
@ATTRIBUTE Paacount|d=2|1-50|hydrophob_very|2 numeric 
@ATTRIBUTE maxPaacount|-40--1|hydrophob_very|2 numeric 
@ATTRIBUTE Paacount|d=2|1--1|hydrophob_very|2 numeric 
@ATTRIBUTE letterCount|1-20|1|charged numeric 
@ATTRIBUTE Paacount|d=2|1--1|charge_none|0 numeric 
@ATTRIBUTE Paacount|d=6|1--1|size_small|1 numeric 
@ATTRIBUTE maxPaacount|1--1|aromatic_none|1 numeric 
@ATTRIBUTE maxPaacountNormed|1--1|hydroxylated_hydroxy|1 numeric 
@ATTRIBUTE minPaacount|50--20|aliphatic_helix_uncharged|1 numeric 
@ATTRIBUTE prosite_clust_cyt numeric 
@ATTRIBUTE prosite_clust_SR numeric 
@ATTRIBUTE prosite_clust_mTP numeric 
@ATTRIBUTE prosite_clust_nuc numeric 
@ATTRIBUTE prosite_clust_mem numeric 
@ATTRIBUTE response {cyt,ER,ex,gol,lys,mTP,nuc,per,mem} 
 
@DATA 
245,50.988,30,0,7.682,13,3.709,0.146466,0.193083730159,173.479,33.9135691701,3,0,0.0208333333333,1,0,0.0212765957447,0.107142857143,0.0622406639004,4,0.460580912863,0.0464135021097,0.838842975207,0.0909090909091,0.0113234253362,1,0,0,0,0,cyt 
255,48.896,45,0,7.682,13,3.709,0.174863833333,0.218927174603,165.373,33.9460119522,1,0,0.0208333333333,1,0.00595238095238,0.0851063829787,0.125,0.0836653386454,6,0.426294820717,0.0404858299595,0.84126984127,0.0793650793651,0.0146373918829,1,0,0,0,0,cyt 
246,51.04,24,0,7.562,12,3.16,0.127878333333,0.202358492063,175.232,34.3795256446,1,0,0.0208333333333,1,0.00649350649351,0.0212765957447,0.107142857143,0.0537190082645,5,0.433884297521,0.063025210084,0.82304526749,0.115226337449,0.0130098452883,1,0,0,0,0,cyt 
247,51.968,36,0,6.862,13,3.217,0.145167,0.180606380952,176.675,34.1068045062,3,0,0.0208333333333,1,0,0.0212765957447,0.105263157895,0.0740740740741,5,0.444444444444,0.0460251046025,0.872950819672,0.0983606557377,0.0139762403913,1,0,0,0,0,cyt 
486,42.636,18,0,5.308,13,3.732,0.2591255,0.178368428571,182.922,36.6631748838,1,0,0,0,0.00617283950617,0.0,0.142857142857,0.0746887966805,1,0.491701244813,0.0585774058577,0.774736842105,0.0766045548654,0.0142378559464,0,0,0,0,0,cyt 
497,33.736,0,0,5.009,12,3.732,0.291897333333,0.220947269841,172.315,36.9997219513,1,0,0.00204081632653,0,0.00625,0.0,0.111111111111,0.0831643002028,1,0.515212981744,0.0572597137014,0.769547325103,0.13967611336,0.0147058823529,0,0,0,0,0,cyt 
467,45.096,18,0,5.041,13,3.732,0.206671777778,0.218534444444,198.984,37.0099618056,2,0,0.0106382978723,0,0.00649350649351,0.0425531914894,0.1,0.0950323974082,2,0.488120950324,0.0631808278867,0.767543859649,0.10775862069,0.0150982116681,0,0,0,0,0,cyt 
453,44.938,27,0,4.524,12,2.851,0.271781,0.238910714286,162.397,36.5764521047,0,0,0.0208333333333,1,0.0062893081761,0.063829787234,0.178571428571,0.0913140311804,1,0.467706013363,0.0629213483146,0.752232142857,0.104444444444,0.00958904109589,1,0,0,0,0,cyt 
425,63.188,18,0,0,13,2.668,0.0660948333333,0.155603444444,147.52,35.9896192542,0,0.0454545454545,0.00724637681159,1,0,0.0212765957447,0.190476190476,0.0475059382423,9,0.465558194774,0.052757793765,0.905213270142,0.104265402844,0.00861528822055,0,0,0,0,0,cyt 
286,42.776,36,0,4.349,13,2.192,0.187504333333,0.220253761905,190.127,36.4030678014,1,0.0526315789474,0.00387596899225,1,0,0.0851063829787,0.136363636364,0.0957446808511,2,0.531914893617,0.0539568345324,0.795053003534,0.127208480565,0.0154955917713,0,0,0,0,0,cyt 
561,40.492,90,0,5.673,13,5.833,0.164643388889,0.23947,185.294,36.5114307899,0,0.0454545454545,0.00196078431373,1,0,0.063829787234,0.129032258065,0.08078994614,3,0.497307001795,0.0650994575045,0.716390423573,0.118279569892,0.0152765388046,0,0,0,0,0,cyt 
