@RELATION /share/usr/briese/Pythonscrips/models/multiloc_fungi_dbm_p+p_model_features.arff
@ATTRIBUTE size numeric 
@ATTRIBUTE ER_signal5 numeric 
@ATTRIBUTE Peroxi_signal1 numeric 
@ATTRIBUTE Vacuole_signal21 numeric 
@ATTRIBUTE Vacuole_signal31 numeric 
@ATTRIBUTE Transmembrane_signal2 numeric 
@ATTRIBUTE Mip_signal12 numeric 
@ATTRIBUTE AutoCorrelatuion|d=2|1-20|hydrophob numeric 
@ATTRIBUTE maxAutoCorrelation|1-30|charge numeric 
@ATTRIBUTE letterCount|1-70|N|aminoacid numeric 
@ATTRIBUTE maxPaacountNormed|1-120|tyrosine|Y numeric 
@ATTRIBUTE maxPaacount|1-120|lysine|K numeric 
@ATTRIBUTE letterCount|1-120|M|aminoacid numeric 
@ATTRIBUTE letterCount|1-120|W|aminoacid numeric 
@ATTRIBUTE maxPaacountNormed|1-130|phenylalanine|F numeric 
@ATTRIBUTE maxPaacount|1-130|cysteine|C numeric 
@ATTRIBUTE Paacount|d=2|1-130|hydrophob_very|2 numeric 
@ATTRIBUTE maxPaacountNormed|-40--1|hydrophob_very|2 numeric 
@ATTRIBUTE maxPaacount|1-30|charge_negative|1 numeric 
@ATTRIBUTE minPaacount|1--1|structure_helix|1 numeric 
@ATTRIBUTE letterCount|1-20|1|size_small numeric 
@ATTRIBUTE maxPaacount|-100--1|aromatic_aromatic|0 numeric 
@ATTRIBUTE Paacount|d=3|-100--1|hydroxylated_hydroxy|1 numeric 
@ATTRIBUTE Paacount|d=2|1--1|aliphatic_helix_uncharged|1 numeric 
@ATTRIBUTE PS50041 numeric 
@ATTRIBUTE prosite_clust_SR numeric 
@ATTRIBUTE prosite_clust_mem numeric 
@ATTRIBUTE prosite_clust_nuc numeric 
@ATTRIBUTE prosite_clust_mTP numeric 
@ATTRIBUTE prosite_clust_cyt numeric 
@ATTRIBUTE response {cyt,ER,ex,gol,mTP,nuc,per,mem,vac,cyt_nuc,ex_mem,cyt_mem,cyt_mTP,nuc_mTP,ER_ex,ex_nuc} 
 
@DATA 
245,30,0.0,18000.0,7.682,3.709,-2.417,0.125094588235,36.4153256923,3,0.000680272108844,0.0265486725664,4,1,0.000925925925926,0,0.0393700787402,0.105263157895,0.142857142857,0.0117126496616,2,0.0357142857143,0.114583333333,0.195020746888,0,0,0,0,0,1,cyt 
255,45,0.0,18000.0,7.682,3.709,-2.708,0.161199,34.5910829231,2,0.000841750841751,0.0194174757282,5,1,0,0.0078125,0.0866141732283,0.105263157895,0.2,0.01296111665,4,0.0243902439024,0.145833333333,0.247011952191,0,0,0,0,0,1,cyt 
246,24,0.0,18000.0,7.562,3.16,-2.747,0.101387176471,38.848087,5,0.000917431192661,0.03,3,1,0,0.00877192982456,0.0472440944882,0.105263157895,0.0833333333333,0.0109941520468,3,0.047619047619,0.09375,0.219008264463,0,0,0,0,0,1,cyt 
247,36,0.0,18000.0,6.862,3.217,-2.789,0.117680411765,41.6436184,4,0,0.019801980198,3,1,0.000663129973475,0,0.0472440944882,0.105263157895,0.0769230769231,0.0118770377271,4,0.0238095238095,0.104166666667,0.238683127572,0,0,0,0,0,1,cyt 
486,18,0.0,18000.0,5.308,3.732,-1.102,0.269604,39.3549508333,1,0.000725689404935,0.0175438596491,1,0,0.00393700787402,0.00819672131148,0.0551181102362,0.0526315789474,0.0384615384615,0.0119977362762,2,0.0224719101124,0.0833333333333,0.219917012448,0,0,0,0,0,0,cyt 
497,0,0.0,9000.0,5.009,3.732,-1.861,0.292292882353,35.5543262308,1,0,0.00990099009901,1,0,0.00393700787402,0.00833333333333,0.0551181102362,0.037037037037,0.0384615384615,0.0110570544007,8,0.0240963855422,0.135416666667,0.243407707911,0,0,0,0,0,0,cyt 
467,18,0.0,9000.0,5.041,3.732,-1.595,0.195967941176,47.0856941538,0,0.000841750841751,0.0188679245283,3,0,0.00393700787402,0.00877192982456,0.0944881889764,0.0526315789474,0.0384615384615,0.0106207222091,9,0.0240963855422,0.0833333333333,0.22030237581,0,0,0,0,0,0,cyt 
453,27,0.0,18000.0,4.524,2.851,-2.925,0.291067235294,31.199259,3,0.00287356321839,0.00952380952381,0,2,0.002,0.00840336134454,0.0787401574803,0.0789473684211,0.0714285714286,0.0112085769981,6,0.0315789473684,0.104166666667,0.24276169265,0,0,0,0,0,1,cyt 
425,18,0.0,9000.0,0,2.668,-3.839,0.150328647059,28.1330007619,2,0,0.019801980198,0,1,0,0,0.0236220472441,0.0540540540541,0.2,0.0113340281397,3,0.0105263157895,0.166666666667,0.161520190024,0,0,0,0,0,0,cyt 
286,36,0.0,9000.0,4.349,2.192,-1.552,0.209732764706,43.35024024,3,0.00847457627119,0.01,3,1,0.000663129973475,0,0.102362204724,0.0789473684211,0.0833333333333,0.0107249255214,4,0.0243902439024,0.114583333333,0.283687943262,0,0,0,0,0,0,cyt 
561,90,0.0,9000.0,5.673,5.833,-1.669,0.157229,42.6307181818,3,0.00526315789474,0.01,4,1,0.00787401574803,0,0.125984251969,0.0277777777778,0.0769230769231,0.0131578947368,7,0.0515463917526,0.135416666667,0.269299820467,0,0,0,0,0,0,cyt 
913,45,0.0,18000.0,3.137,3.493,-2.197,0.170769352941,33.0115430769,6,0.000917431192661,0,4,1,0,0,0.0551181102362,0.131578947368,0.0588235294118,0.0106207222091,3,0,0.15625,0.193619361936,0,0,0,0,0,0,cyt 
504,27,0.0,18000.0,5.962,2.882,-1.156,0.236765647059,44.086579,3,0.000725689404935,0.0172413793103,1,1,0,0,0.0472440944882,0.0277777777778,0.04,0.011986487959,3,0.0322580645161,0.177083333333,0.26,0,0,0,0,0,0,cyt 
911,36,0.0,36000.0,6.281,3.529,-3.319,0.229888058824,32.8660221071,3,0.0042735042735,0.0194174757282,4,3,0,0,0.0787401574803,0.0263157894737,0,0.0118273211118,5,0.03125,0.0833333333333,0.209481808159,0,0,0,0,0,1,cyt 
412,18,0.0,9000.0,5.89,3.159,-2.458,0.403483764706,33.8499626087,4,0,0.00943396226415,0,1,0.00135501355014,0,0.0866141732283,0.037037037037,0.1,0.0138888888889,8,0.0337078651685,0.104166666667,0.272058823529,0,0,0,0,0,0,cyt 
396,0,0.0,27000.0,6.391,3.127,-2.246,0.391685823529,39.48473152,2,0.00112612612613,0.00877192982456,0,0,0.004,0.00819672131148,0.0472440944882,0.184210526316,0,0.0119298245614,8,0.0689655172414,0.09375,0.214285714286,0,0,0,0,0,0,cyt 
1130,27,0.0,18000.0,5.796,4.685,-1.185,0.287683176471,37.0414577143,4,0,0.0172413793103,0,3,0.00135501355014,0.00900900900901,0.0629921259843,0.0789473684211,0.0357142857143,0.0114849793555,3,0.0365853658537,0.0729166666667,0.217584369449,0,0,1,0,0,1,cyt 
1182,18,0.0,9000.0,6.466,4.685,-4.51,0.188784176471,42.5052920769,1,0,0,0,1,0.00271002710027,0,0.0472440944882,0.105263157895,0,0.0109252459314,5,0.0121951219512,0.09375,0.237691001698,0,0,1,0,0,1,cyt 
74,18,0.0,18000.0,6.297,2.177,-1.428,0.376502235294,34.2158906,3,0.00248756218905,0.0144927536232,3,1,0.000974658869396,0,0.0985915492958,0.105263157895,0.1,0.0198609731877,4,0.037037037037,0.1,0.371428571429,0,0,1,0,0,0,cyt 
1101,18,0.0,27000.0,5.446,3.444,-1.762,0.266065705882,39.91265575,2,0.000641025641026,0.029702970297,0,3,0.002,0,0.0787401574803,0.0526315789474,0.0416666666667,0.0123294346979,2,0.037037037037,0.0729166666667,0.323609845032,0,0,0,0,0,0,cyt 
670,27,0.0,9000.0,5.176,4.814,-2.475,0.249315352941,31.7226954074,5,0.00847457627119,0.00990099009901,1,4,0.00161290322581,0,0.0393700787402,0.0789473684211,0.0769230769231,0.0110291136161,6,0.025,0.0520833333333,0.298798798799,0,0,0,0,0,0,cyt 
701,18,0.0,18000.0,6.596,5.298,-2.387,0.0676598823529,43.7121187273,0,0.000778816199377,0.019801980198,1,4,0.00206611570248,0,0.0472440944882,0.105263157895,0.125,0.0103605808452,2,0.0412371134021,0.0625,0.309899569584,0,0,0,0,0,0,cyt 
377,9,0.0,9000.0,5.643,3.823,-1.922,0.194437823529,30.4048529474,1,0.000606796116505,0.00990099009901,3,2,0.0026455026455,0.00819672131148,0.0472440944882,0.157894736842,0.142857142857,0.0106445890006,8,0.0357142857143,0.0520833333333,0.300268096515,0,0,0,0,0,1,cyt 
408,18,0.0,9000.0,6.155,2.941,-2.398,0.176219588235,41.6056895652,1,0.0042735042735,0.00961538461538,1,2,0.0078125,0,0.102362204724,0.131578947368,0.0714285714286,0.0116959064327,5,0.0454545454545,0.0833333333333,0.272277227723,0,0,0,0,0,0,cyt 
