@RELATION /share/usr/briese/Pythonscrips/models/multiloc_fungi_model_features.arff
@ATTRIBUTE size numeric 
@ATTRIBUTE Mono_NLS_signal26 numeric 
@ATTRIBUTE ER_signal5 numeric 
@ATTRIBUTE Vacuole_signal31 numeric 
@ATTRIBUTE Golgi_signal4 numeric 
@ATTRIBUTE Transmembrane_signal2 numeric 
@ATTRIBUTE Mip_signal13 numeric 
@ATTRIBUTE AutoCorrelatuion|d=2|1-20|hydrophob numeric 
@ATTRIBUTE AutoCorrelatuion|d=1|1-90|hydrophob numeric 
@ATTRIBUTE property_sum|1-30|charge numeric 
@ATTRIBUTE AutoCorrelatuion|d=2|1--1|charge numeric 
@ATTRIBUTE maxPaacountNormed|1-40|leucine|L numeric 
@ATTRIBUTE maxPaacount|1-40|lysine|K numeric 
@ATTRIBUTE maxPaacount|1-170|cysteine|C numeric 
@ATTRIBUTE maxPaacount|1--1|serine|S numeric 
@ATTRIBUTE Paacount|d=2|1-60|hydrophob_very|2 numeric 
@ATTRIBUTE maxPaacountNormed|1--1|hydrophob_very|2 numeric 
@ATTRIBUTE letterCount|1-20|1|charged numeric 
@ATTRIBUTE Paacount|d=2|1--1|charge_none|0 numeric 
@ATTRIBUTE minPaacount|1--1|structure_sheet|2 numeric 
@ATTRIBUTE maxPaacountNormed|1-170|aliphatic_helix_other|2 numeric 
@ATTRIBUTE prosite_clust_cyt numeric 
@ATTRIBUTE prosite_clust_nuc numeric 
@ATTRIBUTE prosite_clust_mem numeric 
@ATTRIBUTE 0005737 numeric 
@ATTRIBUTE 0005783 numeric 
@ATTRIBUTE 0005739 numeric 
@ATTRIBUTE 0005576 numeric 
@ATTRIBUTE 0005777 numeric 
@ATTRIBUTE go_one numeric 
@ATTRIBUTE response {cyt,ER,ex,gol,mTP,nuc,per,mem,vac} 
 
@DATA 
245,50.988,30,7.682,13,3.709,-2.517,0.125094588235,0.167016352273,173.479,33.9135691701,0.00505050505051,0.047619047619,0,0.0130434782609,0.0175438596491,0.0619834710744,4,0.460580912863,0.00117481203008,0.166666666667,1,0,0,1.0,0,0,1.0,0,2,cyt 
255,48.896,45,7.682,13,3.709,-2.708,0.161199,0.191274193182,165.373,33.9460119522,0.00505050505051,0.0454545454545,0.00595238095238,0.0042735042735,0.0701754385965,0.0833333333333,6,0.426294820717,0.00199401794616,0.10119047619,1,0,0,1.0,0,0,1.0,0,2,cyt 
246,51.04,24,7.562,12,3.16,-2.747,0.101387176471,0.178476681818,175.232,34.3795256446,0.00714285714286,0.047619047619,0.00649350649351,0.0252100840336,0.0175438596491,0.0658436213992,5,0.433884297521,0.00233918128655,0.142857142857,1,0,0,1.0,0,0,1.0,0,2,cyt 
247,51.968,36,6.862,13,3.217,-2.789,0.117680411765,0.158023329545,176.675,34.1068045062,0.00505050505051,0.047619047619,0,0.0122950819672,0.0175438596491,0.0819672131148,5,0.444444444444,0.0014684287812,0.119047619048,1,0,0,1.0,0,0,1.0,0,2,cyt 
486,42.636,18,5.308,13,3.732,-1.802,0.269604,0.206836056818,182.922,36.6631748838,0,0.0434782608696,0.00617283950617,0.0125523012552,0.0,0.126293995859,1,0.491701244813,0.00214592274678,0.214285714286,0,0,0,1.0,0,0,0,0,0,cyt 
497,33.736,0,5.009,12,3.732,-2.361,0.292292882353,0.232757647727,172.315,36.9997219513,0.00285714285714,0,0.00625,0.00840336134454,0.0,0.121457489879,1,0.515212981744,0.00258429731725,0.238095238095,0,0,0,1.0,0,0,0,0,0,cyt 
467,45.096,18,5.041,13,3.732,-1.995,0.195967941176,0.226896920455,198.984,37.0099618056,0,0.0571428571429,0.00649350649351,0.0111111111111,0.0350877192982,0.133620689655,2,0.488120950324,0.00271418456455,0.220238095238,0,0,0,1.0,0,0,0,0,0,cyt 
453,44.938,27,4.524,12,2.851,-2.925,0.291067235294,0.207736647727,162.397,36.5764521047,0,0,0.0062893081761,0.0184331797235,0.0701754385965,0.0866666666667,1,0.467706013363,0.00182748538012,0.130952380952,1,0,0,0,0,0,0,0,2,cyt 
425,63.188,18,0,13,2.668,-3.839,0.150328647059,0.139390909091,147.52,35.9896192542,0.00925925925926,0,0,0.0333333333333,0.0350877192982,0.0379146919431,9,0.465558194774,0.00107493857494,0.125,0,0,0,1.0,0,0,0,0,0,cyt 
286,42.776,36,4.349,13,2.192,-1.652,0.209732764706,0.249910761364,190.127,36.4030678014,0.00505050505051,0.0384615384615,0,0.0149812734082,0.0701754385965,0.120141342756,2,0.531914893617,0.00146198830409,0.130952380952,0,0,0,1.0,0,0,0,0,2,cyt 
561,40.492,90,5.673,13,5.833,-1.969,0.157229,0.247149693182,185.294,36.5114307899,0.00277777777778,0.0294117647059,0,0.010752688172,0.105263157895,0.10752688172,3,0.497307001795,0.00304692260817,0.077380952381,0,0,0,0,0,0,0,0,0,cyt 
913,43.04,45,3.137,13,3.493,-2.597,0.170769352941,0.208283340909,166.633,35.4654459494,0.00277777777778,0,0,0.0199778024417,0.0526315789474,0.0637362637363,2,0.53795379538,0.00130645763345,0.279761904762,0,0,0,0,0,1.0,0,0,2,cyt 
504,39.472,27,5.962,15,2.882,-1.356,0.236765647059,0.228226261364,190.149,37.477143956,0.010101010101,0,0,0.0123456790123,0.0526315789474,0.0838323353293,0,0.544,0.00206611570248,0.0952380952381,0,0,0,0,0,0,0,0,0,cyt 
911,42.068,36,6.281,14,3.529,-3.519,0.229888058824,0.215538386364,166.613,35.5467068126,0,0,0,0.00665188470067,0.0175438596491,0.0726872246696,1,0.455347298787,0.00159668835009,0.107142857143,1,0,0,1.0,0,0,0,0,2,cyt 
412,36.796,18,5.89,12,3.159,-2.558,0.403483764706,0.2766705,167.885,36.3274135392,0.00714285714286,0.0384615384615,0,0.00755667506297,0.122807017544,0.0757946210269,1,0.583333333333,0.00198412698413,0.14880952381,0,0,0,1.0,0,1.0,0,1.0,0,cyt 
396,25.984,0,6.391,13,3.127,-2.246,0.391685823529,0.253479147727,183.864,36.6108896505,0.0526315789474,0,0.00617283950617,0.0154639175258,0.0701754385965,0.0737913486005,0,0.517857142857,0.000842105263158,0.14880952381,0,0,0,1.0,0,0,0,0,0,cyt 
