@RELATION /share/usr/briese/Pythonscrips/models/multiloc_plants_p+p_model_features.arff
@ATTRIBUTE size numeric 
@ATTRIBUTE Mono_NLS_signal26 numeric 
@ATTRIBUTE ER_signal5 numeric 
@ATTRIBUTE Vacuole_signal31 numeric 
@ATTRIBUTE Golgi_signal4 numeric 
@ATTRIBUTE Golgi_signal6 numeric 
@ATTRIBUTE Transmembrane_signal2 numeric 
@ATTRIBUTE Mip_signal2 numeric 
@ATTRIBUTE property_sum|1-10|volume numeric 
@ATTRIBUTE AutoCorrelatuion|d=2|1-20|hydrophob numeric 
@ATTRIBUTE AutoCorrelatuion|d=6|1-70|hydrophob numeric 
@ATTRIBUTE AutoCorrelatuion|d=6|1-60|charge numeric 
@ATTRIBUTE letterCount|1-20|K|aminoacid numeric 
@ATTRIBUTE maxPaacountNormed|1-40|leucine|L numeric 
@ATTRIBUTE maxPaacount|1-180|cysteine|C numeric 
@ATTRIBUTE maxPaacount|1-40|hydrophob_slightly|1 numeric 
@ATTRIBUTE Paacount|d=2|1-50|hydrophob_very|2 numeric 
@ATTRIBUTE Paacount|d=2|1--1|hydrophob_very|2 numeric 
@ATTRIBUTE letterCount|1-20|1|charged numeric 
@ATTRIBUTE Paacount|d=2|1--1|charge_none|0 numeric 
@ATTRIBUTE letterCount|1-160|2|structure numeric 
@ATTRIBUTE maxPaacount|1--1|aromatic_none|1 numeric 
@ATTRIBUTE letterCount|1-110|1|hydroxylated numeric 
@ATTRIBUTE letterCount|1-30|2|aliphatic_helix_other numeric 
@ATTRIBUTE maxPaacountNormed|1--1|aliphatic_helix_other|2 numeric 
@ATTRIBUTE prosite_clust_cyt numeric 
@ATTRIBUTE prosite_clust_SR numeric 
@ATTRIBUTE prosite_clust_mTP numeric 
@ATTRIBUTE prosite_clust_nuc numeric 
@ATTRIBUTE prosite_clust_mem numeric 
@ATTRIBUTE response {cyt,cTP,ER,ex,gol,mTP,nuc,per,mem,vac} 
 
@DATA 
245,50.988,30,7.682,13,0.875,3.709,20,1289.1,0.125094588235,0.193083730159,35.283641566,3,0.00505050505051,0,0.233333333333,0.0212765957447,0.0622406639004,4,0.460580912863,31,0.838842975207,29,9,0.169421487603,1,0,0,0,0,cyt 
255,48.896,45,7.682,13,0.833333333333,3.709,20,1289.2,0.161199,0.218927174603,33.663787,1,0.00505050505051,0.00561797752809,0.151515151515,0.0851063829787,0.0836653386454,6,0.426294820717,36,0.84126984127,29,12,0.134920634921,1,0,0,0,0,cyt 
246,51.04,24,7.562,12,0.833333333333,3.16,20,1274.4,0.101387176471,0.202358492063,36.8471113774,1,0.00714285714286,0.00609756097561,0.121212121212,0.0212765957447,0.0537190082645,5,0.433884297521,37,0.82304526749,33,10,0.16049382716,1,0,0,0,0,cyt 
247,51.968,36,6.862,13,0.666666666667,3.217,20,1239.9,0.117680411765,0.180606380952,36.2184993019,3,0.00505050505051,0,0.16,0.0212765957447,0.0740740740741,5,0.444444444444,33,0.872950819672,29,9,0.139344262295,1,0,0,0,0,cyt 
486,42.636,18,5.308,13,1.0,3.732,0,818.7,0.269604,0.178368428571,42.6171218113,1,0,0.00581395348837,0.378378378378,0.0,0.0746887966805,1,0.491701244813,28,0.774736842105,38,12,0.151138716356,0,0,0,0,0,cyt 
497,33.736,0,5.009,12,0.875,3.732,0,1108.9,0.292292882353,0.220947269841,44.1657244528,1,0.00285714285714,0.00588235294118,0.46875,0.0,0.0831643002028,1,0.515212981744,27,0.769547325103,53,17,0.15991902834,0,0,0,0,0,cyt 
467,45.096,18,5.041,13,0.833333333333,3.732,0,925.9,0.195967941176,0.218534444444,42.373026,2,0,0.00609756097561,0.27027027027,0.0425531914894,0.0950323974082,2,0.488120950324,35,0.767543859649,44,12,0.155172413793,0,0,0,0,0,cyt 
453,44.938,27,4.524,12,1.0,2.851,20,698.9,0.291067235294,0.238910714286,30.7300296415,0,0,0.00591715976331,0.263157894737,0.063829787234,0.0913140311804,1,0.467706013363,34,0.752232142857,24,9,0.14,1,0,0,0,0,cyt 
425,63.188,18,0,13,0.666666666667,2.668,20,1201.0,0.150328647059,0.155603444444,32.8029733585,0,0.00925925925926,0,0.115384615385,0.0212765957447,0.0475059382423,9,0.465558194774,28,0.905213270142,27,18,0.168246445498,0,0,0,0,0,cyt 
286,42.776,36,4.349,13,1.0,2.192,60,1341.8,0.209732764706,0.220253761905,36.588373283,1,0.00505050505051,0,0.15,0.0851063829787,0.0957446808511,2,0.531914893617,38,0.795053003534,33,11,0.123674911661,0,0,0,0,0,cyt 
